ID,Sobreviveu,Classe,Sexo,Qntd. Parentes,Qntd. Filhos/Pais
1049,Sim,Terceira,Homem,0,0
1050,Não,Primeira,Homem,0,0
1051,Sim,Terceira,Homem,0,2
1052,Sim,Terceira,Homem,0,0
1053,Não,Terceira,Homem,1,1
1054,Sim,Segunda,Homem,0,0
1055,Não,Terceira,Homem,0,0
1056,Não,Segunda,Homem,0,0
1057,Sim,Terceira,Homem,1,1
1058,Não,Primeira,Homem,0,0
1059,Não,Terceira,Homem,2,2
1060,Sim,Primeira,Homem,0,0
1061,Sim,Terceira,Homem,0,0
1062,Não,Terceira,Homem,0,0
1063,Não,Terceira,Homem,0,0
1064,Não,Terceira,Homem,1,0
1065,Não,Terceira,Homem,0,0
1066,Não,Terceira,Homem,1,5
1067,Sim,Segunda,Homem,0,2
1068,Sim,Segunda,Homem,0,0
1069,Não,Primeira,Homem,1,0
1070,Sim,Segunda,Homem,0,3
1071,Sim,Primeira,Homem,0,2
1072,Não,Segunda,Homem,0,0
1073,Não,Primeira,Homem,1,1
1074,Sim,Primeira,Homem,1,0
1075,Não,Terceira,Homem,0,0
1076,Sim,Primeira,Homem,1,1
1077,Não,Segunda,Homem,0,0
1078,Sim,Segunda,Homem,0,1
1079,Não,Terceira,Homem,2,0
1080,Não,Terceira,Homem,8,2
1081,Não,Segunda,Homem,0,0
1082,Não,Segunda,Homem,1,0
1083,Não,Primeira,Homem,0,0
1084,Não,Terceira,Homem,1,1
1085,Não,Segunda,Homem,0,0
1086,Sim,Segunda,Homem,0,2
1087,Não,Terceira,Homem,0,0
1088,Não,Primeira,Homem,0,2
1089,Sim,Terceira,Homem,0,0
1090,Não,Segunda,Homem,0,0
1091,Sim,Terceira,Homem,0,0
1092,Sim,Terceira,Homem,0,0
1093,Não,Terceira,Homem,0,2
1094,Não,Primeira,Homem,1,0
1095,Sim,Segunda,Homem,1,1
1096,Não,Segunda,Homem,0,0
1097,Não,Primeira,Homem,0,0
1098,Sim,Terceira,Homem,0,0
1099,Não,Segunda,Homem,0,0
1100,Sim,Primeira,Homem,0,0
1101,Não,Terceira,Homem,0,0
1102,Não,Terceira,Homem,0,0
1103,Não,Terceira,Homem,0,0
1104,Não,Segunda,Homem,0,0
1105,Sim,Segunda,Homem,1,0
1106,Não,Terceira,Homem,4,2
1107,Não,Primeira,Homem,0,0
1108,Sim,Terceira,Homem,0,0
1109,Não,Primeira,Homem,1,1
1110,Sim,Primeira,Homem,1,1
1111,Não,Terceira,Homem,0,0
1112,Sim,Segunda,Homem,1,0
1113,Não,Terceira,Homem,0,0
1114,Sim,Segunda,Homem,0,0
1115,Não,Terceira,Homem,0,0
1116,Sim,Primeira,Homem,0,0
1117,Sim,Terceira,Homem,0,2
1118,Não,Terceira,Homem,0,0
1119,Sim,Terceira,Homem,0,0
1120,Não,Terceira,Homem,0,0
1121,Não,Segunda,Homem,0,0
1122,Não,Segunda,Homem,0,0
1123,Sim,Primeira,Homem,0,0
1124,Não,Terceira,Homem,1,0
1125,Não,Terceira,Homem,0,0
1126,Não,Primeira,Homem,1,0
1127,Não,Terceira,Homem,0,0
1128,Não,Primeira,Homem,1,0
1129,Não,Terceira,Homem,0,0
1130,Sim,Segunda,Homem,1,1
1131,Sim,Primeira,Homem,1,0
1132,Sim,Primeira,Homem,0,0
1133,Sim,Segunda,Homem,0,2
1134,Não,Primeira,Homem,1,1
1135,Não,Terceira,Homem,0,0
1136,Não,Terceira,Homem,1,2
1137,Não,Primeira,Homem,1,0
1138,Sim,Segunda,Homem,0,0
1139,Não,Segunda,Homem,1,1
1140,Sim,Segunda,Homem,1,0
1141,Sim,Terceira,Homem,1,0
1142,Sim,Segunda,Homem,1,2
1143,Não,Terceira,Homem,0,0
1144,Não,Primeira,Homem,1,0
1145,Não,Terceira,Homem,0,0
1146,Não,Terceira,Homem,0,0
1147,Não,Terceira,Homem,0,0
1148,Não,Terceira,Homem,0,0
1149,Não,Terceira,Homem,0,0
1150,Sim,Segunda,Homem,0,0
1151,Não,Terceira,Homem,0,0
1152,Não,Terceira,Homem,1,0
1153,Não,Terceira,Homem,0,0
1154,Sim,Segunda,Homem,0,2
1155,Sim,Terceira,Homem,1,1
1156,Não,Segunda,Homem,0,0
1157,Não,Terceira,Homem,0,0
1158,Não,Primeira,Homem,0,0
1159,Não,Terceira,Homem,0,0
1160,Sim,Terceira,Homem,0,0
1161,Não,Terceira,Homem,0,0
1162,Não,Primeira,Homem,0,0
1163,Não,Terceira,Homem,0,0
1164,Sim,Primeira,Homem,1,0
1165,Sim,Terceira,Homem,1,0
1166,Não,Terceira,Homem,0,0
1167,Sim,Segunda,Homem,1,0
1168,Não,Segunda,Homem,0,0
1169,Não,Segunda,Homem,1,0
1170,Não,Segunda,Homem,1,0
1171,Não,Segunda,Homem,0,0
1172,Sim,Terceira,Homem,0,0
1173,Não,Terceira,Homem,1,1
1174,Sim,Terceira,Homem,0,0
1175,Sim,Terceira,Homem,1,1
1176,Sim,Terceira,Homem,1,1
1177,Não,Terceira,Homem,0,0
1178,Não,Terceira,Homem,0,0
1179,Não,Primeira,Homem,1,0
1180,Não,Terceira,Homem,0,0
1181,Não,Terceira,Homem,0,0
1182,Não,Primeira,Homem,0,0
1183,Sim,Terceira,Homem,0,0
1184,Não,Terceira,Homem,0,0
1185,Não,Primeira,Homem,1,1
1186,Não,Terceira,Homem,0,0
1187,Não,Terceira,Homem,0,0
1188,Sim,Segunda,Homem,1,2
1189,Não,Terceira,Homem,2,0
1190,Não,Primeira,Homem,0,0
1191,Não,Terceira,Homem,0,0
1192,Não,Terceira,Homem,0,0
1193,Não,Segunda,Homem,0,0
1194,Não,Segunda,Homem,0,1
1195,Não,Terceira,Homem,0,0
1196,Sim,Terceira,Homem,0,0
1197,Sim,Primeira,Homem,1,1
1198,Sim,Primeira,Homem,1,2
1199,Não,Terceira,Homem,0,1
1200,Não,Primeira,Homem,1,1
1201,Sim,Terceira,Homem,1,0
1202,Não,Terceira,Homem,0,0
1203,Não,Terceira,Homem,0,0
1204,Não,Terceira,Homem,0,0
1205,Sim,Terceira,Homem,0,0
1206,Sim,Primeira,Homem,0,0
1207,Sim,Terceira,Homem,0,0
1208,Não,Primeira,Homem,1,0
1209,Não,Segunda,Homem,0,0
1210,Não,Terceira,Homem,0,0
1211,Não,Segunda,Homem,2,0
1212,Não,Terceira,Homem,0,0
1213,Não,Terceira,Homem,0,0
1214,Não,Segunda,Homem,0,0
1215,Não,Primeira,Homem,0,0
1216,Sim,Primeira,Homem,0,0
1217,Não,Terceira,Homem,0,0
1218,Sim,Segunda,Homem,2,1
1219,Não,Primeira,Homem,0,0
1220,Não,Segunda,Homem,1,0
1221,Não,Segunda,Homem,0,0
1222,Sim,Segunda,Homem,0,2
1223,Não,Primeira,Homem,0,0
1224,Não,Terceira,Homem,0,0
1225,Sim,Terceira,Homem,1,1
1226,Não,Terceira,Homem,0,0
1227,Não,Primeira,Homem,0,0
1228,Não,Segunda,Homem,0,0
1229,Não,Terceira,Homem,0,2
1230,Não,Segunda,Homem,0,0
1231,Não,Terceira,Homem,0,0
1232,Não,Segunda,Homem,0,0
1233,Não,Terceira,Homem,0,0
1234,Não,Terceira,Homem,1,9
1235,Sim,Primeira,Homem,0,1
1236,Não,Terceira,Homem,1,1
1237,Sim,Terceira,Homem,0,0
1238,Não,Segunda,Homem,0,0
1239,Sim,Terceira,Homem,0,0
1240,Não,Segunda,Homem,0,0
1241,Sim,Segunda,Homem,0,0
1242,Sim,Primeira,Homem,0,1
1243,Não,Segunda,Homem,0,0
1244,Não,Segunda,Homem,0,0
1245,Não,Segunda,Homem,1,2
1246,Não,Terceira,Homem,1,2
1247,Não,Primeira,Homem,0,0
1248,Sim,Primeira,Homem,2,0
1249,Não,Terceira,Homem,0,0
1250,Não,Terceira,Homem,0,0
1251,Sim,Terceira,Homem,1,0
1252,Não,Terceira,Homem,8,2
1253,Sim,Segunda,Homem,1,1
1254,Sim,Segunda,Homem,0,0
1255,Não,Terceira,Homem,0,0
1256,Sim,Primeira,Homem,1,0
1257,Não,Terceira,Homem,1,9
1258,Não,Terceira,Homem,1,0
1259,Sim,Terceira,Homem,0,0
1260,Sim,Primeira,Homem,0,1
1261,Não,Segunda,Homem,0,0
1262,Não,Segunda,Homem,1,0
1263,Sim,Primeira,Homem,0,0
1264,Não,Primeira,Homem,0,0
1265,Não,Segunda,Homem,0,0
1266,Sim,Primeira,Homem,1,1
1267,Sim,Primeira,Homem,0,0
1268,Sim,Terceira,Homem,2,0
1269,Não,Segunda,Homem,0,0
1270,Não,Primeira,Homem,0,0
1271,Não,Terceira,Homem,4,2
1272,Não,Terceira,Homem,0,0
1273,Não,Terceira,Homem,0,0
1274,Sim,Terceira,Homem,0,0
1275,Sim,Terceira,Homem,1,0
1276,Não,Segunda,Homem,0,0
1277,Sim,Segunda,Homem,1,2
1278,Não,Terceira,Homem,0,0
1279,Não,Segunda,Homem,0,0
1280,Não,Terceira,Homem,0,0
1281,Não,Terceira,Homem,3,1
1282,Não,Primeira,Homem,0,0
1283,Sim,Primeira,Homem,0,1
1284,Não,Terceira,Homem,0,2
1285,Não,Segunda,Homem,0,0
1286,Não,Terceira,Homem,3,1
1287,Sim,Primeira,Homem,1,0
1288,Não,Terceira,Homem,0,0
1289,Sim,Primeira,Homem,1,1
1290,Não,Terceira,Homem,0,0
1291,Não,Terceira,Homem,0,0
1292,Sim,Primeira,Homem,0,0
1293,Não,Segunda,Homem,1,0
1294,Sim,Primeira,Homem,0,1
1295,Não,Primeira,Homem,0,0
1296,Não,Primeira,Homem,1,0
1297,Não,Segunda,Homem,0,0
1298,Não,Segunda,Homem,1,0
1299,Não,Primeira,Homem,1,1
1300,Sim,Terceira,Homem,0,0
1301,Sim,Terceira,Homem,1,1
1302,Sim,Terceira,Homem,0,0
1303,Sim,Primeira,Homem,1,0
1304,Sim,Terceira,Homem,0,0
1305,Não,Terceira,Homem,0,0
1306,Sim,Primeira,Homem,0,0
1307,Não,Terceira,Homem,0,0
1308,Não,Terceira,Homem,0,0
1309,Não,Terceira,Homem,1,1
